id_steam,name_imdb,name_steam,release_date,price,developers,publishers
289420,Санитары подземелий,Planet Alcatraz,16.04.2014,3.99,Fulqrum Publishing,Fulqrum Publishing
389250,Sanitary Podzemeliy 2: Ohota za Chornym Kvadratom,Planet Alcatraz 2,12.08.2015,4.99,Fulqrum Publishing,Fulqrum Publishing
10220,Postal III,Postal III,17.02.2012,5.99,"Trashmasters, Zoom Platform",Akella
812980,Postworld,POSTWORLD,31.08.2018,2.45,Screwdriver Entertainment,Screwdriver Entertainment
555520,Riddles of Fate: Wild Hunt (Collector's Edition),Riddles of Fate: Wild Hunt Collector's Edition,16.11.2016,9.99,Elephant Games,Big Fish Games
46370,Rig 'n' Roll,Rig n Roll,09.07.2010,4.99,SoftLab-NSK,Fulqrum Publishing
560760,Sacra Terra: Kiss of Death,Sacra Terra: Kiss of Death Collector’s Edition,02.02.2017,9.99,Five BN,Alawar Casual
1373770,Morskie legendy,Sea Legends,02.10.2020,6.99,"Mir Dialogue, Ocean",Ziggurat
1446890,Shadow Fight 2,Shadow Fight Arena,coming_soon,,Nekki Limited,Nekki Limited
254960,S2: Silent Storm,Silent Storm Gold Edition,02.10.2013,9.99,Nival,THQ Nordic
990360,Skyhill: Black Mist,SKYHILL: Black Mist,11.06.2020,19.99,Mandragora,Mandragora
285520,Sledgehammer,Sledgehammer / Gear Grinder,12.03.2014,7.99,Targem Games,ESDigital Games
46330,Space Rangers 2: Rise of the Dominators,,,,,
46270,Звездные волки,Star Wolves,02.03.2010,3.99,X-Bow Software,Fulqrum Publishing
46280,Звездные волки 2,Star Wolves 2,02.03.2010,3.99,X-Bow Software,Fulqrum Publishing
46260,Star Wolves 3: Civil War,Star Wolves 3: Civil War,02.03.2010,4.99,Elite Games Team,Fulqrum Publishing
612520,Sudden Strike 2,Sudden Strike 2 Gold,22.05.2017,5.99,Fireglow,Kalypso Media Digital
612540,Sudden Strike: Противостояние III,Sudden Strike 3,22.05.2017,5.99,Fireglow,Kalypso Media Digital
1080700,Swordbreaker,Swordbreaker: Origins,13.05.2022,9.99,DuCats Games Studio,DuCats Games Studio
1198070,The Christmas Spirit: Grimm Tales,The Christmas Spirit: Grimm Tales Collector's Edition,13.12.2019,9.99,Domini Games,Big Fish Games
560730,Esoterica. Hollow Earth,The Esoterica: Hollow Earth,02.02.2017,3.99,Happy Artist Games,Alawar Casual
311140,Метро-2,The Stalin Subway,19.09.2014,3.99,Orion Games,ESDigital Games
311120,Метро-2: Смерть Вождя,The Stalin Subway: Red Veil,24.10.2014,2.99,Orion Games,ESDigital Games
289480,The Tomorrow War: Factor K,The Tomorrow War,03.04.2014,2.99,CrioLand,Fulqrum Publishing
37000,Тургор,The Void,15.12.2009,9.99,Ice-Pick Lodge,Ice-Pick Lodge
1132980,There Is No Light: Enhanced Edition,There Is No Light: Enhanced Edition,19.09.2022,19.99,Zelart,HypeTrain Digital
2905090,ÜberSoldier,UberSoldier,05.04.2024,4.99,Burut CT,Strategy First
281410,ÜberSoldier II,UberSoldier II,25.03.2014,8.99,Burut CT,Strategy First
1828910,"Вий: История, рассказанная заново",Viy: Retold Story,08.12.2021,5.99,"Crazy House, Discus Games",First Games Interactive
1316680,Vladik Brutal,VLADiK BRUTAL,09.08.2024,11.99,BRUTAL SOFTWARE,BRUTAL SOFTWARE
